episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1292,7128.47760295221,40,25,10,80,1503.9999999999982,0.2889576883384932,95.18059855521155,0.6707946336429308,0.9391124871001032,2.9205366357069145
1,1210,10288.15826500304,40,18,8,84,1750.000000000005,0.08264462809917356,95.83020285499623,1.3974455296769346,0.8827948910593538,1.8069120961682945
2,1421,8991.923710232699,40,22,11,78,1431.999999999999,0.16420361247947454,96.88013136289,0.4691531785127843,0.3244976151380092,2.1620142309797483
3,1293,2563.3189009898183,40,18,12,76,1875.9999999999973,0.07733952049497289,96.31231104548971,0.671447655206356,2.5486887435843357,0.3902130352246362
4,987,17838.90128977166,40,19,0,100,2141.999999999997,4.761904761904762,0.09649249770830316,89.41477300139913,1.5631784628745116,1.5487045882182664
5,1086,4155.369186977957,40,23,9,82,2405.9999999999955,0.3304084064565052,91.49062940093162,1.5870436572419022,1.9932835012458023,4.598635034124146
6,1216,6439.291189335176,40,19,10,80,2131.999999999999,0.10181704260651625,95.25375939849624,0.7362155388471177,0.5717418546365914,3.336466165413534
7,1249,11364.586432663391,40,22,8,84,2231.999999999997,0.0800640512409928,94.64905257539364,0.7116804554754915,4.1722266702250685,0.3869762476647985
8,1088,10401.552754405433,40,23,6,88,1901.9999999999968,0.2054498269896194,93.42560553633218,1.3083910034602078,3.627811418685121,1.4327422145328716
9,1243,7615.165649608825,40,20,10,80,2967.9999999999955,0.257441673370877,93.29042638777153,4.629927594529365,1.082059533386967,0.7401448109412712
10,1067,20067.87650058229,40,24,1,98,2816.0000000000014,0.09372071227741331,89.64971883786318,3.303655107778819,4.850046860356138,2.102858481724461
11,1193,5504.372465027676,40,25,10,80,1460.0000000000011,0.553227158424141,95.52947750768372,0.39117071807767534,3.1349538977367977,0.39117071807767534
12,1187,20339.205328171345,40,20,3,94,3007.9999999999977,0.08845829823083405,92.55686604886267,4.8820556023588875,1.3647851727042963,1.1078348778433025
13,1169,2748.2378567563883,40,25,10,80,2205.999999999997,0.25092671799258626,93.53293413173654,1.305959509552324,1.157684630738523,3.7524950099800396
14,1046,13685.360114966556,40,21,4,92,2794.0000000000027,0.12076079299587401,92.14551675556004,1.24282982791587,0.8251987521384724,5.665693871389756
15,1047,9369.50001143987,40,18,6,88,2237.999999999997,0.09551098376313273,94.34314491621083,1.4283233480941215,0.7988191369280193,3.3342016150039075
16,1366,19676.595828347094,40,27,6,88,1630.0000000000011,0.49555130082216464,93.26500732064422,2.14551188196869,2.708638360175695,1.385291136389233
17,1320,1340.7161932826348,40,19,14,72,921.9999999999952,0.07575757575757573,97.39898989898992,1.020923520923521,0.5663780663780663,0.9379509379509379
18,1353,2781.2775728066167,40,23,14,72,936.0000000000002,0.07390983000739099,97.81748619625233,0.14781966001478197,0.16955784531107346,1.7912264684144166
19,1532,17204.82698091701,40,24,10,80,2002.0,0.31005221932114885,95.37369451697127,0.5425913838120104,2.9781331592689297,0.7955287206266318
20,1366,5370.472803778219,40,22,13,74,1412.0000000000016,0.07727346673173906,97.10021148527736,0.23182040019521716,0.028469171953798604,2.562225475841874
21,1091,-1379.1022699284913,40,18,12,76,1989.9999999999966,0.24164652945587875,95.01708190984083,0.5582868094325473,3.3455545371219064,0.8374302141488209
22,1175,-7480.239363268757,40,24,16,68,1117.9999999999982,0.48936170212765956,96.3776595744681,1.930851063829787,0.5531914893617021,0.6489361702127661
23,1322,8084.722441346318,40,24,10,80,1147.999999999997,0.09928139183055977,96.74735249621784,1.853252647503782,0.5342284417549168,0.7658850226928897
