episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_HOLD_INTCPT,state_PURSUING,state_GO_HOLD_INTCPT
0,1061,19066.53071591457,40,28,1,98,14008.911102198155,8.333333333333334,3.0867106503298776,72.49450204209866,2.214891611687088,10.108388312912346,3.762174049638705
1,1039,21216.47675601386,40,28,0,100,16746.600930801003,33.333333333333336,2.189605389797882,55.3256336220725,2.8873917228103942,1.4116137311517485,4.852422200834136
2,1211,26182.042564824184,40,29,0,100,14654.628432389642,18.181818181818183,1.6665415509346146,69.74701598979055,3.9486525035657984,1.5839651677801967,4.872006606110652
3,1202,27010.15581541815,40,20,0,100,25859.718469906686,20.0,0.5282861896838602,70.07487520798668,3.4816971713810316,1.8677204658901827,4.047420965058236
4,1097,22540.84065259578,40,28,0,100,16036.410424429132,25.0,1.929504709814646,60.543907626861134,3.851412944393801,2.529626253418414,6.145548465512002
5,1643,41296.44394947599,40,27,0,100,16730.907053852265,7.6923076923076925,1.1236481108666136,82.35872465939417,3.10407790626902,1.9570204597593521,3.7642211714031557
6,1054,21587.5914633373,40,24,0,100,17252.958310515925,12.5,0.5455407969639469,75.56333017077799,3.7713472485768507,1.5417457305502846,6.07803605313093
7,1010,18127.962296735426,40,27,1,98,18435.46868106622,15.384615384615385,3.115003808073115,65.08758568164508,4.097486671744098,2.2848438690022848,10.030464584920031
8,1288,29650.13841154152,40,26,0,100,21943.41736417058,28.571428571428573,1.5195208518189884,60.68655723158828,2.517746228926353,1.0592280390417035,5.645519077196095
9,1087,22079.239361130152,40,26,0,100,18460.71498781182,14.285714285714286,2.451044815350243,67.94585359442765,4.862662636351689,2.280194506505454,8.174530161650676
10,1275,28630.39578296844,40,27,0,100,19647.954440789465,23.076923076923077,2.1598793363499245,63.36048265460029,2.932126696832579,1.9064856711915534,6.564102564102563
11,1254,27973.364191621484,40,25,0,100,17713.73356391979,13.333333333333334,1.6533758639021796,73.53003721424773,3.5832004253056886,1.4566719829877726,6.443381180223286
12,1448,35214.677605956764,40,24,0,100,22864.626945574175,18.75,0.6949240331491712,71.56422651933701,3.055939226519337,1.4761740331491713,4.458736187845304
13,905,14608.415982395421,40,26,1,98,16639.204249625018,28.571428571428573,1.973164956590371,58.5872138910813,2.896606156274665,1.3654301499605368,6.606156274664563
14,974,18451.07433857343,40,28,0,100,12880.190236957398,8.333333333333334,2.2073921971252566,73.86208076659823,4.6800136892539355,3.0886379192334013,7.828542094455853
15,1142,21444.919976897192,40,32,1,98,12782.022555804853,37.5,4.630035026269702,48.007880910683014,1.302539404553415,0.31742556917688264,8.242119089316988
16,1048,20790.47709006161,40,32,0,100,12014.736274161245,37.5,3.6020992366412212,50.05963740458015,1.920324427480916,4.3893129770992365,2.528625954198473
17,1099,20760.636493442293,40,28,1,98,17815.085982349,25.0,3.1088868668486502,59.569305429178044,3.0103124052168644,2.2217167121625723,7.089778586593873
18,1345,24219.08611844756,40,34,4,92,10538.88222748546,33.333333333333336,3.2837670384138784,48.599752168525406,3.023543990086741,1.6109045848822798,5.737298636926889
19,1223,27564.236972309187,40,19,0,100,26942.134186165695,19.047619047619047,0.961725655102597,69.11575750496438,2.8657088346376978,1.3666627730405323,6.64252618463575
20,1351,31797.306704775536,40,24,0,100,22176.258440694557,18.75,0.9437453737971873,69.79089563286455,3.3586232420429307,1.7764618800888232,5.380273871206514
21,1009,20224.27040952025,40,25,0,100,19999.81359146954,26.666666666666668,1.4469772051536174,61.94251734390485,3.7793194582094483,1.5262636273538155,4.638255698711596
22,971,18023.900958349812,40,27,0,100,17910.937820967407,23.076923076923077,2.0438881406955556,62.96443000871425,2.836092846391508,1.283371623227442,7.795294304048166
23,1141,25017.745852954595,40,21,0,100,24914.43490924803,26.315789473684212,0.06457862447529868,63.54997924258499,4.054615065270538,2.4032473822593294,3.6117902117256335
24,996,19606.99306532828,40,29,0,100,13645.864094854935,18.181818181818183,3.313253012048193,62.102957283680176,4.28075940124133,2.208835341365462,9.912376779846658
25,1442,34388.69135061425,40,28,0,100,18355.913229445607,25.0,1.7105871474803511,64.80004623208507,2.641007859454461,1.3638465094775776,4.484512251502543
26,1354,32140.782701917866,40,20,0,100,24317.871870663817,15.0,0.7053175775480058,74.76366322008862,3.1314623338257017,1.9017725258493354,4.49778434268833
27,1137,24646.791006414987,40,23,0,100,20669.640674750903,17.647058823529413,1.0243675306534223,72.86460758445858,3.155879766154483,1.1847483056547157,4.123337989549381
28,1368,29407.009819026625,40,30,1,98,15891.2388369056,20.0,2.3172514619883042,66.63011695906434,3.084795321637426,2.192982456140351,5.7748538011695905
29,1477,35651.24621227678,40,28,0,100,17599.020260096087,25.0,0.8575942225231326,67.15188445046265,3.2329045362220716,1.3089596027984653,2.4486571879936814
30,1012,20608.040567810644,40,27,0,100,18693.97827363568,23.076923076923077,2.3791425965339004,61.22681666159927,5.221951961082396,2.242322894496808,5.8528428093645495
31,1081,17600.12404979577,40,32,2,96,9575.488115829487,5.006938020351527,79.15124884366328,2.648011100832562,1.595744680851064,11.598057354301574
32,1145,24748.772146750045,40,23,0,100,23272.39474853573,23.529411764705884,1.0377600821988184,66.05702543025944,2.80503467762651,1.6593886462882097,4.911379398921141
33,1012,20090.287545290288,40,27,0,100,16209.946447132272,23.076923076923077,1.2921860747947704,63.37792642140469,4.211006384919428,2.591973244147157,5.449984797810885
34,1038,16227.871678675716,40,31,2,96,14590.164850792167,44.44444444444444,3.810747163348319,41.9503318347249,1.4879040890601585,0.44958253050738606,7.685720402483408
35,1312,30047.467093785417,40,26,0,100,17774.630103230505,14.285714285714286,1.361062717770035,73.77504355400697,3.0270034843205575,1.731271777003484,5.819904181184669
36,1303,29772.977754106527,40,29,0,100,16537.632002534563,27.272727272727273,3.355891997488314,59.63859624642434,1.6605037326449452,0.9349054629177423,7.137375287797391
37,1062,21753.251933910986,40,26,0,100,13529.91590913379,1.560398170567662,81.49044928705946,5.8245897228948085,2.5154694646220066,8.609093354856068
38,1652,40520.546656708604,40,31,0,100,19317.379562472797,33.33333333333333,4.015334947538337,55.165456012913644,0.49098735539413507,6.261770244821092,0.7331181059994618
39,1528,37181.67598778716,40,23,0,100,22014.311816390393,11.764705882352942,0.5813058207576224,78.48398521712352,3.6533723437018795,1.7092700954727444,3.8073606405913156
40,1120,21637.936806218982,40,29,1,98,15539.131495215603,18.181818181818183,4.188311688311688,63.32792207792208,2.6623376623376624,1.5665584415584417,10.073051948051948
41,1022,20497.25292438262,40,27,0,100,15590.818398258127,15.384615384615385,1.6709318079181092,71.29309047117266,3.838627126298359,1.9870540418485625,5.825681168146922
