episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1116,22887.230553830883,40,25,0,100,15200.465624669803,0.5615292712066906,85.16129032258064,4.348864994026284,2.622461170848268,7.305854241338111
1,1125,23042.413937375586,40,29,0,100,11434.550265776421,1.1797979797979798,84.80808080808079,4.63030303030303,2.3434343434343434,7.038383838383838
2,1236,27166.376639831105,40,25,0,100,14901.338431556342,0.08090614886731393,88.30636461704421,5.604099244875942,2.1197411003236244,3.888888888888889
3,920,17380.741315954765,40,20,0,100,16941.454910937522,0.7119565217391304,86.58695652173913,4.342391304347826,2.2119565217391304,6.146739130434782
4,881,15056.039948225309,40,26,0,100,13134.454232131127,1.1512891195070536,82.71444786768284,6.25101345873196,2.772823090643749,7.110426463434409
5,1348,30946.729427888153,40,27,0,100,14033.532523557984,0.5192878338278932,86.55558091759872,5.152933120292171,2.801871718785665,4.970326409495549
6,1045,20758.84563330313,40,24,0,100,15688.753528597863,0.36483253588516745,88.12200956937801,4.533492822966506,1.854066985645933,5.125598086124402
7,964,17833.64794605338,40,25,0,100,14802.477187906108,0.3872752420470263,82.20608575380359,6.341632088520056,3.26417704011065,7.800829875518672
8,1029,20394.123254443613,40,30,0,100,10436.143308662957,2.1379980563654035,84.22740524781341,3.6054421768707483,2.0991253644314867,7.93002915451895
9,1284,28068.86168320801,40,22,0,100,19664.845440887395,0.2639321564555209,84.51021114572517,6.079093111803392,2.513845621322256,6.632917964693666
10,948,17280.23543975202,40,27,0,100,12385.356585776326,0.49496916585524176,86.20577734501784,5.314832846478415,2.3206751054852317,5.663745537163258
11,1249,27573.404762160717,40,24,0,100,16396.619772654478,0.5154123298638911,88.76100880704564,1.6463170536429141,2.8222578062449957,6.255004003202563
12,1167,25156.02835504365,40,22,0,100,15799.893236340286,0.3427592116538132,88.9031705227078,4.113110539845759,2.332666857088451,4.3082928687041795
13,1111,22885.520571538225,40,29,0,100,10666.271311143279,1.6037967433106948,84.60027820963914,4.795024957041159,2.315686114065952,6.685213975943048
14,1077,21814.4381090718,40,28,1,98,11792.971538895004,1.1838440111420612,84.01423707830392,3.922934076137419,1.895697926338595,8.983286908077995
15,952,16805.653484590475,40,31,1,98,8708.544665481499,2.322595704948646,78.59477124183007,6.360877684407096,2.8594771241830066,9.862278244631186
16,1217,26192.14776099738,40,33,0,100,8581.790410516365,1.9133701138631294,88.63716398638337,2.8876628712290175,1.1268928277966899,5.434910200727785
17,1219,27173.990125636035,40,28,1,98,11857.643928092997,1.9961717254580258,86.2797374897457,2.7003007929997267,0.9912496581897733,8.032540333606782
18,1277,27916.134617322605,40,33,1,98,7345.297244688376,1.5102360443002574,86.95603535071037,5.336167356527576,3.210649960845732,2.9869112876160644
19,1148,24491.747930967605,40,20,0,100,20001.076954797794,0.17857142857142858,88.33623693379789,3.819686411149826,2.1428571428571423,5.522648083623693
20,1122,23966.73718230026,40,20,0,100,18783.368062606718,0.2985739750445633,85.7620320855615,6.05614973262032,2.580213903743315,5.303030303030304
21,1018,19460.381729939854,40,28,0,100,12650.043820669644,1.3752455795677798,81.77799607072693,5.60740013097577,2.578585461689588,1.506221349050426
22,1037,20560.44613625546,40,24,0,100,15330.309126283308,0.22902603664416588,86.78278688524593,4.634763741562199,2.073288331726133,6.280135004821601
23,1188,25869.66305757741,40,24,0,100,15702.034621899536,0.3209175084175084,85.80597643097641,3.8615319865319866,2.9250841750841756,7.086489898989898
24,1064,20515.865552770665,40,27,0,100,13863.970011538899,0.4193175245806824,84.21052631578947,6.318681318681319,2.9135338345864663,6.137941006362059
25,1215,26666.60188778837,40,25,0,100,14999.52778174944,0.41152263374485587,86.33744855967078,4.735253772290809,2.9026063100137174,5.613168724279836
26,1265,28402.4351361493,40,23,0,100,17317.06331645845,0.6138107416879796,88.19344338525926,3.8177168100441756,2.2645896303185307,5.110439432690072
27,1130,24576.54959515027,40,19,0,100,19160.05538035797,0.6489675516224189,87.32406236831014,5.111672987779183,2.279814580699537,4.635482511588706
28,1164,24708.203820245937,40,28,0,100,11646.31852224125,1.2027491408934705,87.27806414662084,3.443585337915235,1.3387743413516608,6.736827033218787
29,1046,20473.441974193454,40,30,0,100,10907.765859270126,1.7686424474187379,81.77820267686424,5.124282982791587,2.370936902485659,8.95793499043977
30,1003,19645.88182036138,40,26,1,98,13796.080160004585,0.5198689645349666,86.82523857000429,5.113231733371315,2.421307506053269,5.120353226036177
31,1064,20010.68349493199,40,33,2,96,10583.487244002863,6.901181525241675,71.91192266380236,3.745972073039742,1.5306122448979589,15.91031149301826
32,1289,29370.777504320144,40,18,0,100,22240.089615824592,0.2256858734748572,88.6346004654771,4.023555963043938,2.0840679878693846,5.032089710134706
33,1262,27204.25529471175,40,32,0,100,8542.229918902696,2.23851030110935,85.3704437400951,4.298732171156894,2.3078446909667196,5.784469096671949
34,938,17112.041738519853,40,27,0,100,11807.689093450064,1.0004920452681647,82.63080203378712,6.913236017713629,2.271608988026899,7.183860915204199
