episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,582,8534.590248709856,40,25,3,94
1,500,7155.294631064044,40,27,0,100
2,629,11014.449237496676,40,31,0,100
3,535,8154.617537576868,40,30,0,100
4,568,7793.156317258152,40,32,5,90
5,509,7153.720447103685,40,27,0,100
6,596,8482.982814120727,40,31,3,94
7,488,6038.073014371687,40,23,0,100
8,538,7413.038957811002,40,31,1,98
9,569,8473.91467718325,40,22,3,94
10,689,11705.601403432624,40,29,2,96
11,563,7802.937841158116,40,27,1,98
12,634,10884.476377744943,40,22,1,98
13,677,12438.362293722646,40,24,1,98
14,676,11614.49140255733,40,25,2,96
15,643,9316.649931013817,40,34,4,92
16,602,9657.837689075675,40,25,2,96
17,630,10876.386392948154,40,28,1,98
18,644,10798.363662812988,40,23,2,96
19,612,7895.241479172597,40,39,7,86
20,631,10556.304302342309,40,32,4,92
21,469,5092.934164976946,40,26,4,92
22,498,6414.513120760706,40,32,2,96
23,647,11507.98563425339,40,23,0,100
24,539,7245.80262725012,40,34,5,90
25,673,13001.708438867698,40,32,0,100
26,671,11475.954190073493,40,31,2,96
