episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,480,592.2256789720387,10,5,5,50
1,508,689.0378000321954,10,5,5,50
2,791,2836.5194787813516,10,5,5,50
3,641,1472.3235850310543,10,5,5,50
4,702,2005.604678654278,10,5,5,50
5,543,367.13550620279705,10,3,7,30
6,777,2310.729995819507,10,4,6,40
7,580,567.3159647241176,10,4,6,40
8,674,1901.028291673635,10,5,5,50
9,511,621.4906012488119,10,5,5,50
10,427,-521.5972955973523,10,2,8,20
11,564,321.09888301629826,10,4,6,40
12,654,620.9422772803887,10,3,7,30
13,567,858.2945654898392,10,5,5,50
14,578,366.3389995007692,10,3,7,30
15,655,750.6697252240845,10,3,7,30
16,685,1656.9771622970218,10,4,6,40
17,724,2147.14095648845,10,4,6,40
18,720,1263.439323302095,10,3,7,30
19,591,737.7255470800628,10,3,7,30
20,617,1014.1415833497762,10,4,6,40
21,421,-35.12528221954068,10,4,6,40
22,634,1954.8658579331309,10,6,4,60
23,497,655.3689219084183,10,5,5,50
24,502,181.41256567759353,10,3,7,30
25,479,13.503997460870591,10,3,7,30
26,529,93.65351684972961,10,3,7,30
27,581,703.780912408599,10,4,6,40
28,605,753.0386949975917,10,3,7,30
29,697,1322.2013395979104,10,2,8,20
30,618,775.5292302122801,10,2,8,20
31,501,599.2710425137028,10,5,5,50
32,917,2528.6495239830915,10,2,8,20
33,692,1530.2947340416993,10,3,7,30
34,736,1748.5104556967735,10,4,6,40
35,675,1027.227107597688,10,4,6,40
36,637,946.5463202686053,10,3,7,30
37,656,612.086377538897,10,1,9,10
38,448,-964.0707717243488,10,1,9,10
39,568,1138.617772815823,10,4,6,40
40,424,-335.06329945606154,10,4,6,40
41,576,682.6217749472148,10,4,6,40
42,448,-310.6465042400475,10,3,7,30
43,508,910.372653223051,10,5,5,50
44,696,1438.6488020352751,10,3,7,30
45,803,2468.943020105306,10,6,4,60
46,399,59.774280394420614,10,5,5,50
47,740,1298.1092745891206,10,2,8,20
48,428,-128.45021868883913,10,4,6,40
49,576,-166.2250384300198,10,2,8,20
50,620,495.61753940442384,10,2,8,20
51,729,1908.65377129118,10,5,5,50
52,767,1195.0491885397457,10,2,8,20
53,689,1667.2838749994905,10,4,6,40
54,514,-28.55113251368389,10,2,8,20
55,532,253.97297436713424,10,3,7,30
56,734,1891.7392668613045,10,4,6,40
57,647,947.700185011579,10,3,7,30
58,548,412.5100869394374,10,3,7,30
59,725,1444.560158727194,10,3,7,30
60,453,-182.47359196397628,10,3,7,30
61,505,229.23997412853703,10,3,7,30
62,586,1252.3137647310034,10,6,4,60
63,658,557.4581418467528,10,3,7,30
64,569,-86.85362070608977,10,3,7,30
65,840,2277.758685282698,10,3,7,30
66,1438,7371.036712812762,10,5,5,50
67,627,800.8895893696806,10,2,8,20
68,533,593.5345322270488,10,4,6,40
69,804,1584.8397621462093,10,2,8,20
70,588,795.4343735460384,10,4,6,40
71,514,267.39365949942874,10,3,7,30
72,958,3758.008153411645,10,2,7,30
73,642,1715.5618906107563,10,5,5,50
74,760,2768.4286903017114,10,4,6,40
75,768,2092.8794109400337,10,4,6,40
76,488,101.54785008129426,10,4,6,40
77,515,367.9930262985088,10,5,5,50
78,729,1305.3198993430115,10,2,8,20
79,483,300.601151691097,10,5,5,50
80,647,1236.8563588843563,10,6,4,60
81,890,2810.080525682783,10,2,8,20
82,578,614.7678385764066,10,3,7,30
83,660,416.8864735544375,10,1,9,10
84,532,598.3124610432195,10,4,6,40
85,750,2036.7458219395858,10,5,5,50
86,503,443.0974571967821,10,4,6,40
87,571,872.1373982154684,10,3,7,30
88,498,410.58311517621524,10,4,6,40
89,811,1809.0533254231573,10,2,8,20
90,648,708.3130417749275,10,2,8,20
91,665,887.1574810382358,10,2,8,20
92,715,1522.6812508698927,10,4,6,40
93,658,1164.1566120063071,10,3,7,30
94,658,720.3675738480999,10,2,8,20
95,595,897.0137024904852,10,4,6,40
96,950,3004.8770778150147,10,3,7,30
97,735,1502.7452463297643,10,2,8,20
