episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,513,1767.6778953693783,10,6,1,90
1,751,3154.3192662037554,10,3,3,70
2,710,1354.7353467419723,10,7,6,40
3,537,1200.9820783406851,10,5,3,70
4,558,1538.1121619717276,10,4,3,70
5,479,953.8383356373432,10,6,3,70
6,482,1489.0000747023596,10,6,1,90
7,761,3293.376720697737,10,6,3,70
8,487,1832.4669506291443,10,3,1,90
9,786,4450.83587463927,10,5,0,100
10,447,1533.008494340217,10,5,0,100
11,492,1052.8835107203322,10,5,3,70
12,721,3781.979863756963,10,4,0,100
13,452,1617.924307973086,10,2,0,100
14,710,2590.870979591413,10,8,5,50
15,622,1647.696260202698,10,3,5,50
16,799,3592.230763232712,10,5,2,80
17,957,5424.8532315719995,10,6,1,90
18,464,481.6305908199451,10,4,6,40
19,1170,6068.657197831884,10,6,3,70
20,495,1835.103293983914,10,2,0,100
21,851,2508.2779961662586,10,6,6,40
22,657,2960.4112954926295,10,4,2,80
23,546,1196.5568621710527,10,5,4,60
24,857,3422.009426382897,10,4,4,60
25,685,2657.83940918346,10,6,1,90
26,639,1007.0799790843591,10,6,7,30
27,558,2188.039819912322,10,5,0,100
28,578,1503.305791127352,10,5,4,60
29,502,2020.733877882677,10,5,1,90
30,566,2120.446283595121,10,5,0,100
31,573,2295.5673801316316,10,6,0,100
32,666,3467.1649785687246,10,4,0,100
33,541,1716.8385218221122,10,5,3,70
34,723,3036.2612686444063,10,3,2,80
35,521,1819.2470715484124,10,5,3,70
36,1312,7298.102550154306,10,6,2,80
37,499,1459.7039695702322,10,6,1,90
38,536,1182.0016185912311,10,5,5,50
39,431,856.958626542008,10,6,3,70
40,521,1894.1155463213186,10,3,1,90
41,625,1215.9853447880275,10,3,6,40
42,493,767.3201170504171,10,6,5,50
43,753,3305.1773432775776,10,6,4,60
44,677,2381.621160985922,10,6,3,70
45,433,711.2613644741874,10,4,4,60
46,481,1255.1899415832447,10,6,3,70
47,420,1173.9469998180243,10,5,2,80
48,722,1739.1959636002762,10,3,6,40
49,550,1667.3078263115892,10,4,2,80
50,533,580.5479531681655,10,5,5,50
51,641,2621.996822464155,10,5,2,80
52,629,1711.4498538418245,10,2,3,70
53,740,2512.49044723648,10,5,6,40
54,608,1760.103063005764,10,4,3,70
55,585,1252.0407015621931,10,8,5,50
56,546,1598.0099281870805,10,6,3,70
57,404,1307.2170609210161,10,5,0,100
58,543,1891.1892541755544,10,5,1,90
