episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1228,-10265.541431515676,40,15,18,64,0.0,0.19418692057128542,99.66173891255326,0,0.08143322475570033,0.06264094211976948,0,0
1,1671,69.08260473848974,40,15,20,60,0.0,1.2383188325737697,97.45431109883535,0,0.059844404548174746,0.055240988813699765,1.1922846752290197,0
2,1584,-2900.8066824934685,40,14,20,60,0.0,1.3302669552669553,97.35299422799422,0,0.06313131313131315,0.06313131313131315,1.1904761904761905,0
3,1668,2220.573059656887,40,15,19,62,0.0,2.8223574986164914,97.01162147205314,0,0.059952038369304565,0.05534034311012729,0.05072864785095001,0
4,1220,-19114.12850418776,40,15,22,56,0.0,1.7150063051702398,97.97604035308953,0,0.08196721311475408,0.08196721311475409,0.14501891551071877,0
5,1374,-1661.041477790815,40,13,16,68,0.0,3.8379427462396896,95.3469189713731,0,0.0727802037845706,0.053372149442018436,0.6889859291606016,0
6,1665,12638.269130003939,40,12,13,74,0.0,2.1921921921921923,97.53753753753753,0,0.060060060060060046,0.048798798798798795,0.1614114114114114,0
7,1243,-6218.918096721441,40,15,16,68,0.0,2.37019617550591,97.33275573983538,0,0.08045052292839902,0.06188501763723002,0.15471254409307506,0
8,1221,-16946.65335061518,40,18,21,58,0.0,5.569205569205569,90.17199017199016,0,3.5708435708435706,0.09828009828009829,0.5896805896805898,0
9,1150,-11107.325736128752,40,16,17,66,0.0,0.21739130434782608,99.62318840579707,0,0.08695652173913045,0.07246376811594203,0,0
10,1823,11425.784589252115,40,16,17,66,0.0,4.71749862863412,90.52843298592063,0,4.406655695739623,0.04114097641250686,0.30627171329310665,0
11,1794,12536.570042620775,40,18,15,70,0.0,6.811594202898551,87.51950947603122,0,5.222965440356745,0.055741360089186176,0.3901895206243033,0
12,1672,12441.054009227095,40,14,14,72,0.0,7.228298017771701,91.84894053315107,0,0.059808612440191374,0.4571086807928913,0.40584415584415584,0
13,1577,-4918.222334128956,40,14,20,60,0.0,4.529395778603135,94.73231270948455,0,0.06341154090044386,0.05888214512184074,0.6159978258900262,0
14,1868,9224.105506644002,40,15,18,64,0.0,3.632021083841212,95.98089276890133,0,0.053533190578158474,0.04529731510459562,0.2882556415746994,0
15,1654,5737.2002014445925,40,16,16,68,0.0,5.698307134220072,93.2789197904071,0,0.06045949214026603,0.03526803708182185,0.9270455461507456,0
16,1815,-1080.2484495797253,40,15,23,54,0.0,0.41958041958041953,99.01250264886629,0,0.055096418732782364,0.04238186056367875,0.47043865225683407,0
17,1661,2230.580488410515,40,14,18,64,0.0,2.9070267480863508,96.09099509761761,0,0.06020469596628535,0.043003354261632404,0.8987701040681173,0
18,1668,8181.6863457261825,40,14,16,68,0.0,4.213771839671121,94.60859883521753,0,0.05995203836930454,0.08992805755395683,1.027749229188078,0
19,1245,-15719.139445010182,40,15,21,58,0.0,4.189063948100093,95.20543713314798,0,0.08032128514056225,0.09267840593141799,0.4324992276799506,0
20,1226,-12707.1063326649,40,16,19,62,0.0,2.6576943991299617,97.08401305057096,0,0.08156606851549754,0.06797172376291462,0.1087547580206634,0
21,1643,11455.283122658218,40,16,13,74,0.0,0.8926759991884763,97.70744572935688,0,0.06086427267194158,0.07100831811726517,1.2680056806654494,0
22,1522,3382.1063733731016,40,12,16,68,0.0,4.3322930354796325,94.63699080157687,0,0.0657030223390276,0.04517082785808147,0.9198423127463863,0
23,1672,6335.123720453912,40,15,17,66,0.0,4.205005520794994,94.88866396761132,0,0.05980861244019139,0.05520794994479204,0.7913139492086861,0
24,1668,-1846.2667166019478,40,12,21,58,0.0,0.5770383693045563,98.90962230215827,0,0.05995203836930454,0.03747002398081535,0.4159172661870504,0
25,1287,-27022.684125479296,40,17,27,46,0.0,0,99.85166348802709,0,0.0777000777000777,0.07063643427279791,0,0
26,1591,3707.3360056546835,40,15,16,68,0.0,6.120968911666586,92.8733742687231,0,0.06285355122564425,0.14988154523038244,0.7929217231542813,0
27,1827,5392.416795014135,40,19,20,60,0.0,1.7210971233959742,98.14510734050964,0,0.05473453749315818,0.05473453749315818,0.024326461108070307,0
28,1671,4508.133299120178,40,17,18,64,0.0,6.457755290789402,92.93836026331537,0,0.05984440454817473,0.04352320330776345,0.5005168380392797,0
29,1238,-14303.547597606123,40,18,20,60,0.0,3.4652665589660745,94.71728594507269,0,0.08077544426494346,0.06462035541195477,1.6720516962843295,0
30,1783,2043.7475260641486,40,16,20,60,0.0,2.327537857543466,97.43409983174425,0,0.05608524957936064,0.03739016638624042,0.14488689474668162,0
31,1800,8975.423480592592,40,14,17,66,0.0,1.599206349206349,97.19047619047619,0,0.05555555555555555,0.05555555555555555,1.099206349206349,0
32,1606,-5929.203529304012,40,16,22,56,0.0,3.3572021585720213,96.47156496471564,0,0.06226650062266501,0.046699875466998754,0.062266500622665005,0
33,1379,-17663.712452816777,40,16,24,52,0.0,4.1999033115784385,95.16557892192411,0,0.0725163161711385,0.05438723712835388,0.5076142131979696,0
34,1813,6977.552573410861,40,18,19,62,0.0,0.06067291781577496,98.73138444567014,0,0.05515719801434087,0.055157198014340866,1.0976282404853834,0
35,1876,9143.532044930353,40,13,18,64,0.0,3.2444918265813785,95.92039800995025,0,0.053304904051172726,0.03553660270078181,0.7462686567164178,0
36,1764,11949.684255624668,40,16,15,70,0.0,0.01889644746787604,99.85355253212396,0,0.08030990173847317,0.0472411186696901,0,0
37,1671,14770.804310704587,40,12,13,74,0.0,3.575703171753441,95.11520047875524,0,0.059844404548174746,0.08228605625374028,1.1669658886894074,0
38,1507,-9521.76654540151,40,15,21,58,0.0,0.20927977132356695,98.65754683272934,0,0.06635700066357002,0.051043846664284624,1.015772548619264,0
39,1624,6608.636736814715,40,15,15,70,0.0,0.14209928003031452,99.74895793861309,0,0.06157635467980294,0.0473664266767715,0,0
40,1290,-18948.618817574967,40,19,23,54,0.0,0,94.36692506459947,0,5.546942291128338,0.08613264427217916,0,0
41,1546,-172.56311687217732,40,12,18,64,0.0,2.7126455368693403,96.15135834411383,0,0.06468305304010348,0.05659767141009055,1.0147153945666236,0
42,1455,931.8262284456732,40,12,15,70,0.0,0.5541237113402062,98.85738831615117,0,0.06872852233676975,0.0429553264604811,0.47680412371134023,0
43,1794,6504.435845646406,40,16,18,64,0.0,3.488480118914901,96.07487922705313,0,0.05574136008918617,0.04645113340765515,0.33444816053511706,0
44,1219,-15086.09136086284,40,16,20,60,0.0,7.348919879682801,91.83757178014767,0,0.0820344544708778,0.1025430680885972,0.6289308176100629,0
45,1183,-11994.519989007948,40,14,18,64,0.0,5.234875015094795,93.63603429537496,0,0.08453085376162296,0.1388721168940949,0.905687718874532,0
46,1477,-1983.8150337025722,40,16,18,64,0.0,0.30467163168584965,96.26495147822162,0,3.373956217558113,0.05642067253441662,0,0
47,1288,-4373.828958166309,40,15,16,68,0.0,4.604634495938844,94.83397037744864,0,0.07763975155279504,0.06569517439082656,0.4180602006688963,0
48,1804,19065.583730083483,40,15,12,76,0.0,5.351355961112059,94.09432031383253,0,0.05969640115981579,0.13644891693672181,0.35817840695889475,0
49,1533,5742.961541269804,40,15,15,70,0.0,4.706708816297857,94.07898038035023,0,0.06523157208088715,0.04516031913292187,1.1039189121380901,0
50,1864,10856.95248125328,40,12,17,66,0.0,4.432671673819742,94.85649141630903,0,0.05364806866952788,0.07041309012875537,0.5867757510729614,0
51,1296,-18686.331606999483,40,15,23,54,0.0,0.17806267806267806,99.68542260208926,0,0.07716049382716049,0.059354226020892686,0,0
52,1670,8285.361454661992,40,15,16,68,0.0,3.7356057116536157,94.3758636573008,0,0.059880239520958084,0.041455550437586364,1.7871948410870564,0
53,1236,-16463.88032397866,40,16,21,58,0.0,2.373247033441208,97.30312837108953,0,0.08090614886731391,0.07416396979503775,0.16855447680690402,0
54,1185,-17886.399571373084,40,17,21,58,0.0,8.331415420023015,90.03452243958571,0,0.08438818565400842,0.06137322593018796,1.488300728807058,0
55,1828,15836.965416942616,40,15,14,72,0.0,0.13044941928968187,99.77276552768892,0,0.054704595185995616,0.042080457835381245,0,0
56,1294,-18898.488428567693,40,17,23,54,0.0,2.4097231979766756,97.40761556835744,0,0.07727975270479134,0.07727975270479134,0.02810172825628776,0
