episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,533,7783.338729328273,40,26,0,100
1,555,7210.018428970062,40,30,3,94
2,574,8694.62186048615,40,24,0,100
3,581,9685.110520677601,40,25,1,98
4,476,5479.630462644962,40,31,2,96
5,590,8823.951696516933,40,25,3,94
6,699,13387.276497412715,40,16,0,100
7,833,17111.35967253586,40,28,2,96
8,695,13220.574191968019,40,20,0,100
9,455,5496.824552491247,40,27,0,100
10,556,8049.977626840158,40,28,0,100
11,475,5919.655292114325,40,27,0,100
12,516,7531.737042584196,40,27,1,98
13,524,7572.3294207009485,40,24,0,100
14,437,4623.841575875791,40,30,0,100
15,614,9810.20834592868,40,28,1,98
16,552,8799.406706520378,40,20,0,100
17,628,10578.75829693461,40,23,0,100
18,506,7009.670519292932,40,17,0,100
19,662,12001.537209615179,40,22,0,100
20,498,6706.106649567597,40,15,0,100
21,554,8522.124258976539,40,25,0,100
22,538,7660.1774810800225,40,27,1,98
