episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,677,2161.13293256221,10,10,2,80
1,665,2997.455383286593,10,3,0,100
2,560,2217.3928020385724,10,10,2,80
3,423,1191.326855417446,10,3,0,100
4,555,1888.2552008919197,10,9,1,90
5,653,2959.4242925857034,10,7,0,100
6,617,2384.779068776053,10,9,2,80
7,505,1908.6225685724935,10,7,0,100
8,570,2190.8084624253916,10,5,0,100
9,379,1188.8741966911555,10,5,0,100
10,577,2252.647805971291,10,10,1,90
11,400,1123.521169281741,10,7,0,100
12,430,1439.6138664972711,10,4,0,100
13,758,3425.063092736251,10,10,1,90
14,481,1324.9055000744836,10,5,1,90
15,440,1319.6534132252746,10,7,0,100
16,603,2234.2089640412964,10,4,1,90
17,668,2427.9932969744063,10,11,1,90
18,309,709.4197772458,10,3,0,100
19,448,1641.3647243278974,10,8,1,90
20,988,5445.35521457061,10,5,0,100
21,601,2551.083578136437,10,11,0,100
22,474,1479.5992461352862,10,7,1,90
23,499,1651.0874883580093,10,6,1,90
24,476,1666.124778677573,10,6,1,90
25,617,2950.2480022264535,10,6,0,100
26,517,1543.7405957921992,10,6,1,90
27,484,1609.9512977752258,10,5,1,90
28,408,1230.9590569115867,10,6,0,100
29,432,1343.5240421587268,10,8,0,100
30,543,2202.8408818165726,10,5,1,90
31,397,1255.2848790127462,10,6,0,100
32,464,1342.1725172285876,10,6,1,90
33,452,1010.5122786094428,10,10,0,100
34,463,1695.3408954196043,10,5,0,100
35,473,1401.9895921433822,10,6,2,80
36,430,1191.6249418925568,10,6,0,100
37,522,2489.207967716024,10,4,0,100
38,493,1768.1151125282072,10,6,0,100
39,531,2261.6219376719096,10,8,1,90
40,448,1534.0700527785293,10,5,0,100
41,516,1542.966977904886,10,9,1,90
42,473,1432.5994561188265,10,5,1,90
43,443,1129.3026159208387,10,5,0,100
44,687,3097.9802369488484,10,5,0,100
45,355,920.6643510802152,10,4,0,100
46,314,902.1545071383068,10,4,0,100
47,415,1409.5357585510308,10,4,0,100
48,590,2433.3531194568614,10,7,0,100
49,531,1888.2471301345772,10,5,2,80
50,439,1185.8562292377474,10,5,0,100
51,417,1260.057437549668,10,6,0,100
52,603,2751.912021062663,10,7,0,100
53,647,2590.8565058698673,10,5,1,90
54,418,1332.3692349796886,10,6,0,100
55,623,2639.1205507193577,10,4,0,100
56,327,788.3904681237314,10,4,0,100
57,564,1474.7036368745821,10,6,3,70
58,426,985.9321601596092,10,6,1,90
59,520,1565.7855860919433,10,9,1,90
60,1019,5612.874632323831,10,8,1,90
61,543,1351.1635878942107,10,8,2,80
62,443,1454.1356356598833,10,5,0,100
63,430,899.7959558231107,10,5,2,80
64,459,1566.19153896351,10,5,0,100
65,415,1396.3436987463558,10,6,0,100
66,566,2059.0629162752352,10,5,1,90
67,833,4355.409451824849,10,7,0,100
68,684,3497.8136511075136,10,6,0,100
69,549,1980.7571396723308,10,10,0,100
70,708,2992.080894577657,10,7,1,90
71,515,2027.25171642974,10,7,0,100
72,627,3199.587469794625,10,9,0,100
73,560,2207.2586053264654,10,7,0,100
