episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_HOLD_INTCPT,state_PURSUING,state_GO_HOLD_INTCPT
0,1224,20252.470704822,40,26,4,92,11505.999999999998,21.42857142857143,2.351774042950513,64.97432306255835,1.4530812324929974,7.913165266106442,1.8790849673202614
1,1189,22248.42429344349,40,22,2,96,16154.945773155672,22.22222222222222,2.266143351088683,61.78861788617887,2.238108587982432,1.3923932342771705,10.09251471825063
2,1188,19155.571931836777,40,28,3,94,7443.999999999999,16.666666666666668,1.5081369248035914,74.62121212121211,1.7466329966329968,0.8698092031425366,4.587542087542087
3,1306,30186.732367989298,40,19,0,100,15893.127477263894,19.047619047619047,1.51316269233574,70.28731860278567,1.319915408736236,0.7219426821264494,7.110041566396849
4,1539,31482.80146404448,40,25,3,94,9410.0,13.333333333333334,0.5198180636777129,79.2116092700888,1.7197314273337665,1.048299761750054,4.167208143816331
5,1671,33954.02892543262,40,25,4,92,11542.562518540992,13.333333333333334,2.166367444643926,76.01037303012168,1.7394773588669459,0.9615000997406743,5.788948733293438
6,1300,26891.818164605233,40,26,1,98,10904.000000000005,21.42857142857143,0.4010989010989011,69.1923076923077,2.4725274725274726,1.6923076923076923,4.813186813186813
7,2105,54782.26924067209,40,24,2,96,16113.589209473334,18.75,0.3117577197149644,75.43052256532066,1.1757719714964372,0.5492874109263658,3.7826603325415675
8,1154,25197.21239779683,40,22,0,100,13509.228083746588,22.22222222222222,1.2564991334488735,66.00231080300405,1.208357404197959,1.3383400731754285,7.972270363951473
9,1398,27792.215489486774,40,28,2,96,11662.0,25.0,1.126609442060086,66.91106342393896,1.859799713876967,1.2041010968049597,3.8984263233190273
10,1047,19282.584655100083,40,23,1,98,10001.252719941365,17.647058823529413,1.0169110624192372,71.48716220012359,7.157705489072421,1.7529074667116133,0.9382549581437158
11,1233,27727.72579393167,40,31,1,98,7200.000000000002,22.22222222222222,1.7662431287735423,66.36928899702623,2.0095521312066325,1.1895106785617735,6.443182842209607
12,1466,36258.11320894075,40,20,0,100,18145.594907282826,25.0,0.2660300136425648,67.01568894952251,2.3669849931787166,2.0327421555252387,3.3185538881309693
13,1054,20060.27782074758,40,22,1,98,12434.047589428419,22.22222222222222,0.41640312038794025,66.22390891840608,2.472064094454986,1.217583807716635,7.447817836812145
14,1304,23454.788754699723,40,27,3,94,12150.0,23.076923076923077,1.9584709768758848,67.53775365738557,0.8081642284096271,0.6606890042472864,5.957999056158565
15,1352,20987.27974052701,40,28,5,90,12822.0,33.333333333333336,1.6765285996055228,60.04068047337278,0.6348619329388561,0.44378698224852076,3.8708086785009863
16,1175,16571.294898825632,40,29,4,92,7173.999999999998,18.181818181818183,1.369439071566731,69.91102514506768,2.282398452611219,5.918762088974854,2.336557059961315
17,933,14849.616582807137,40,32,2,96,1366.0,1.045016077170418,89.30868167202573,1.5407288317256165,6.752411575562701,1.3531618435155413
18,1229,15252.737236501061,40,26,6,88,10771.06767708004,21.42857142857143,0.7264907590375451,68.03440660234801,1.5575961873764967,1.4646053702196908,6.788329652446822
19,1254,25585.579243276738,40,32,2,96,6708.0,25.0,1.7942583732057416,65.3409090909091,1.2260765550239234,4.904306220095694,1.7344497607655502
20,1385,30679.491373828285,40,20,1,98,14674.938779352653,20.0,0.2202166064981949,72.28519855595667,1.5703971119133573,1.2129963898916967,4.711191335740072
21,1386,32590.162502974068,40,22,0,100,11684.0,16.666666666666664,0.5170755170755171,75.54914221580887,2.657527657527657,1.034151034151034,3.5754369087702425
22,1198,22282.94584781084,40,27,2,96,8147.379538183069,15.384615384615385,1.874919738024913,72.17798895595223,1.9904969821497367,1.5089251316296388,7.063053807628099
23,1626,40393.02156005099,40,25,0,100,10813.486534820117,13.333333333333334,1.2546125461254611,76.65026650266502,1.767117671176712,1.1480114801148011,5.846658466584666
