episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,512,6821.704174490527,40,24,0,100
1,579,9394.195199650043,40,21,0,100
2,571,9013.917368606424,40,32,0,100
3,591,9669.179270408275,40,24,0,100
4,691,13158.672850999606,40,32,1,98
5,549,7897.940724838425,40,28,0,100
6,554,8606.703672142326,40,25,0,100
7,580,9109.396069382785,40,21,0,100
8,751,15327.123805767626,40,27,0,100
9,578,8951.248092806054,40,31,1,98
10,582,9302.869526812485,40,34,1,98
11,672,12710.695428047282,40,18,0,100
12,557,9110.74135964785,40,27,0,100
13,660,12113.499681389214,40,22,0,100
14,728,13791.371141379726,40,25,0,100
15,564,7917.148626578493,40,31,0,100
16,544,7822.027500071167,40,27,0,100
17,694,11872.932709364115,40,40,4,92
18,460,5264.779757272379,40,26,0,100
19,667,12945.606905929508,40,18,0,100
20,706,12606.536264526256,40,34,2,96
21,476,6731.709031887083,40,28,0,100
22,797,16831.16843903318,40,20,0,100
23,662,11051.782899749622,40,19,0,100
24,539,7804.580571056419,40,20,0,100
25,526,8493.616918238142,40,18,0,100
26,582,10060.89775278993,40,29,0,100
27,514,7379.816641936719,40,27,0,100
28,527,7784.949842564844,40,18,0,100
29,618,10184.204430863805,40,24,0,100
30,909,19199.86831530825,40,30,3,94
31,520,6765.516907604974,40,30,1,98
32,616,10635.660514159685,40,25,0,100
33,931,21193.2214897278,40,29,0,100
34,648,11711.56790541948,40,33,0,100
35,564,8605.755794783347,40,23,0,100
36,694,13093.818536734098,40,33,1,98
37,633,11182.990817918962,40,24,0,100
38,566,9218.510297498866,40,18,0,100
39,414,4023.447541943895,40,26,0,100
40,579,9333.800547449226,40,18,0,100
41,517,8039.417047642912,40,19,0,100
42,533,8080.526893109129,40,21,0,100
43,567,9235.86206489416,40,23,0,100
