episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,530,8929.78314738003,40,21,0,100
1,670,12918.354246873141,40,18,0,100
2,795,16300.634940971822,40,35,1,98
3,548,9501.0569191898,40,22,0,100
4,677,12379.481485475882,40,34,2,96
5,705,14867.965356460854,40,23,0,100
6,671,12701.168657240614,40,37,4,92
7,487,7448.598093184214,40,24,0,100
8,599,11092.722478820211,40,22,0,100
9,490,7204.949772442952,40,31,0,100
10,584,8801.014139382653,40,32,1,98
11,605,11532.902243291113,40,24,1,98
12,681,12799.431122291075,40,33,4,92
13,639,12391.30331077072,40,28,1,98
14,530,8602.954740850219,40,25,0,100
15,581,11540.209137514592,40,24,1,98
16,623,12879.538594920286,40,28,0,100
17,707,14282.554887997578,40,32,0,100
18,632,12332.620255271351,40,19,0,100
19,803,17605.26955233624,40,30,2,96
20,737,14983.741851062476,40,31,2,96
21,628,12271.537082124823,40,27,1,98
22,667,13694.849599473928,40,23,0,100
23,706,14354.87160412282,40,28,1,98
24,508,8492.172923477649,40,17,0,100
25,704,14313.345273638919,40,22,0,100
26,549,10211.361889884984,40,22,0,100
27,606,11357.909230289599,40,22,0,100
28,662,13314.542452983344,40,28,0,100
29,649,12142.626163257935,40,19,0,100
30,458,7080.193903880476,40,21,0,100
31,740,15722.687731011716,40,23,0,100
32,821,16767.55727964842,40,30,4,92
33,616,11926.317950830424,40,29,0,100
34,413,5909.39132178908,40,25,0,100
35,547,9262.462430622807,40,27,1,98
36,801,18035.022224184475,40,25,0,100
37,443,6816.107954333085,40,18,0,100
38,801,16732.671512428697,40,28,0,100
39,982,21620.37420019735,40,28,0,100
40,678,13827.912389771804,40,18,0,100
41,641,12549.080309711859,40,22,0,100
42,518,8030.691545923585,40,19,0,100
