episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
0,673,3195.054769568637,10,5,0,100
1,441,869.7861592211568,10,4,1,90
2,677,1591.4735056654656,10,7,5,50
3,408,1193.6328839161088,10,4,0,100
4,805,3486.035479462241,10,7,2,80
5,363,921.233703506999,10,3,0,100
6,550,1567.9906264367185,10,6,2,80
7,447,1234.4236641657196,10,5,1,90
8,344,679.3208352040267,10,3,0,100
9,419,950.0875181627255,10,5,2,80
10,575,1532.3008749820542,10,8,4,60
11,642,2373.1363710194746,10,7,2,80
12,540,1813.4847761399133,10,5,0,100
13,554,2227.157274821011,10,4,0,100
14,464,1218.1469930841258,10,5,2,80
15,449,449.3538224654316,10,5,5,50
16,454,1579.7774215551472,10,3,1,90
17,381,723.9101897448518,10,7,1,90
18,395,536.0445923674231,10,6,2,80
19,529,670.0005415979816,10,7,6,40
20,470,1561.1422816914112,10,5,0,100
21,374,954.331038135759,10,6,0,100
22,626,2537.787513736236,10,5,0,100
23,395,1104.918182129122,10,5,1,90
24,465,912.2927605108367,10,6,2,80
25,443,1080.276056376702,10,4,0,100
26,658,2231.624468704266,10,7,1,90
27,454,827.8615852191083,10,7,3,70
28,424,1001.3373054546771,10,4,2,80
29,407,1282.6514977224688,10,2,0,100
30,660,2570.6441254993397,10,8,1,90
31,465,872.5868916373528,10,5,3,70
32,402,1313.3434296244877,10,5,1,90
33,413,829.7406822139728,10,6,3,70
34,457,1414.0644599531215,10,5,2,80
35,570,1421.7097922543683,10,6,4,60
36,858,4115.2812219240695,10,8,1,90
37,470,703.887845883381,10,7,3,70
38,405,971.0561659018729,10,3,1,90
39,475,1072.8788796366111,10,4,2,80
40,564,2395.012149423884,10,5,1,90
41,466,1354.709362082228,10,4,0,100
42,413,334.9431979514115,10,5,4,60
43,405,1117.2033623692137,10,4,1,90
44,499,1415.925862143278,10,4,1,90
45,607,2083.705152036099,10,8,3,70
46,544,1318.5233404436574,10,6,2,80
47,713,3108.7883041224886,10,6,1,90
48,574,1827.5884965242724,10,8,3,70
49,758,3145.48615361101,10,4,0,100
50,488,1167.5728847938838,10,5,3,70
51,701,3451.551798015193,10,4,0,100
52,512,1763.932273968403,10,2,0,100
53,503,1936.9717619991713,10,3,1,90
54,467,546.50855268336,10,5,3,70
55,504,1134.7123186005385,10,3,3,70
56,711,3091.8428784989856,10,8,0,100
57,466,1200.277115386008,10,5,1,90
58,531,1876.5495145359014,10,4,1,90
59,556,1431.017308658404,10,5,2,80
60,476,1485.0712623933262,10,3,2,80
61,476,1418.3536939164567,10,5,0,100
62,542,574.2106485593515,10,3,5,50
63,637,2739.5604646901284,10,7,2,80
64,447,1476.7662212213331,10,4,0,100
65,515,1221.4283699826171,10,6,3,70
66,577,1837.298686005729,10,6,3,70
67,638,2889.709663261957,10,5,1,90
68,739,2099.8481294163753,10,3,4,60
69,432,1056.4958411918367,10,6,1,90
70,702,2545.1531847973297,10,6,2,80
71,459,904.9507563000036,10,7,2,80
72,577,1674.518746301056,10,5,2,80
73,440,1128.4855875008645,10,5,2,80
74,541,1101.6598927678692,10,7,4,60
75,422,644.2701576737169,10,6,4,60
76,616,2094.3003705805822,10,5,1,90
77,419,1039.1946610839054,10,6,2,80
78,505,1032.7972041558787,10,6,3,70
79,582,1913.2347321027337,10,6,2,80
80,617,1492.5415706405865,10,5,3,70
81,492,1565.5089337189033,10,5,0,100
82,482,1014.8975647736888,10,6,3,70
83,710,3148.417183408827,10,6,2,80
